Title,Brand,Price,Discount,Stock Status,Rating,Social Proof,URL
"HP Laserjet Tank 2606dn Duplex Printer for Home: Print+Copy+Scan, Mess-Free 15-Sec Toner Refill, Lowest Cost Per Page for B&W Prints, Smart Guided Buttons, Easy Mobile Printing",Visit the HP Store,"₹28,653","16,999",In stock,3.4  3.4 out of 5 stars,,https://www.amazon.in/HP-Laserjet-2606dn-Duplex-Printer/dp/B09T3KM7Y1
ATPOS 80mm (3 Inch) High Speed Direct Thermal Printer HL- 58 Monochrome - Desktop | Receipt Print POS Printer | Invoice Billing | (USB),,"₹8,950","5,299",Only 2 left in stock.,3.9  3.9 out of 5 stars  (52),,https://www.amazon.in/ATPOS-Direct-Thermal-Printer-Monochrome/dp/B07KW9QBNK
"HP Color Laser 178nw All-in-One Wireless Color Laser Print, Scan & Copy with Built-in Ethernet and Wi-fi Direct, Smallest Color Laser in its Class",Visit the HP Store,"₹46,769","46,490",In stock,3.2  3.2 out of 5 stars  (17),,https://www.amazon.in/HP-178nw-Wireless-Ethernet-Smallest/dp/B08YZ28LQX
"HP Laserjet 3004dw Duplex Printer: Black & White Printer, Self Reset Dual Band WiFi with self heal, Ethernet, Fast Printing Upto 33ppm, Easy and Secure Setup, Smart App Enabled",Visit the HP Store,"₹23,562","17,999",In stock,3.6  3.6 out of 5 stars  (5),,https://www.amazon.in/HP-Laserjet-3004dw-Duplex-Printer/dp/B0B5MN5TMM
"UV Printhead, Easy to Install Compact 6 Color Printer Print Head ABS for XP600",,Discount not found,Price not found,Stock info not found,,,https://www.amazon.in/Printhead-Install-Compact-Color-Printer/dp/B0BZT92KK8
"Epson M2170 Monochrome All-in-One WiFi,Networking, Auto Duplex InkTank Printer, Black, Medium",Visit the Epson Store,"₹24,999","22,378",In stock,3.7  3.7 out of 5 stars  (56),,https://www.amazon.in/Epson-EcoTank-Monochrome-InkTank-Printer/dp/B083GX1WM3
ColorInk Paper Set CP Series,"Visit the store, Canon    Canon   Visit the store","₹12,249","8,570",,Rating not found,,https://www.amazon.in/ColorInk-Paper-Set-CP-Series/dp/B00C0ZX1SQ
Print Star ML4321 ADF Hinges Compatible with Samsung ML4321 & ML2876 Printers,"Visit the store, Print Star    Print Star   Visit the store",₹699,269,In stock,Rating not found,,https://www.amazon.in/Print-Star-Compatible-Samsung-Printers/dp/B0BWF15KJS
WEP BP 85T Plus 3-inch Billing Printer with Battery,,Discount not found,"18,000",In stock,3.5  3.5 out of 5 stars  (2),,https://www.amazon.in/BP-85T-Plus-Billing-Services/dp/B0B466JLMH
"HP Smart Tank 500 All-in-One Printer, Print, Copy, Scan, Hi-Speed USB 2.0, Up to 11/5 ppm (Black/Color), 100-sheet Input Tray, 30-Sheet Output Tray, 1000-page Duty Cycle, Color",Visit the HP Store,"₹15,566","14,990",Only 1 left in stock.,4.0  4.0 out of 5 stars  (482),,https://www.amazon.in/HP-Smart-500-Color-Printer/dp/B08GGGZ7CD
"(Refurbished) HP Deskjet Ink Advantage 2723 All-in-One Printer, Scanner and Copier for Home/Home Office, B&W Prints at Rs. 6/Page*, Color Prints at Rs 8/Page*, Easy Mobile Printing, Affordable",Visit the Amazon Renewed Store,Discount not found,Price not found,Stock info not found,2.1  2.1 out of 5 stars  (20),,https://www.amazon.in/Renewed-HP-Advantage-Printing-Affordable/dp/B0BB2X41CZ
Canon PIXMA MegaTank G6070 All-in-one Wi-Fi Colour Ink Tank Printer with Auto-Duplex Printing and Networking (Black),"Visit the store, Canon    Canon   Visit the store","₹29,495","21,699",In stock,Rating not found,,https://www.amazon.in/Canon-G6070-Auto-Duplex-Printing-Networking/dp/B07TMJ5JPP
Epson Workforce ES-60W Wireless Portable Sheet-fed Document Scanner for PC and Mac,Visit the Epson Store,"₹22,990","16,600",In stock,"4.2  4.2 out of 5 stars  (1,705)",,https://www.amazon.in/Epson-Workforce-ES-60W-Wireless-Sheet-fed/dp/B07KRXXWYY
"Limeink 10 Pack Compatible PGI-35 & CLI-36 Ink Cartridges (5 Black, 5 Color) Color Set Use for Canon PIXMA iP100 PIXMA iP110 Series Printers 1509b002 1511B002",,"₹10,615.80","5,194",,4.5  4.5 out of 5 stars  (482),,https://www.amazon.in/Compatible-Cartridges-Printers-1509b002-1511B002/dp/B015YALGV2
Epson EcoTank L805 WiFi Ink Tank Photo Printer,Visit the Epson Store,Discount not found,"13,699",Stock info not found,"4.0  4.0 out of 5 stars  (1,074)",,https://www.amazon.in/Epson-L805-Single-Function-Wireless-Printer/dp/B019C8HQ8Y
"HipponixTech Fuser Grease for Hp Laserjet Series Hp 1005,1020,128Nw,126Nw,1107,1108,1136,2900B (20 grm) (Pack of 1)",,Discount not found,215,Stock info not found,2.9  2.9 out of 5 stars  (2),,https://www.amazon.in/HipponixTech-Hp-Laserjet-1005-1020/dp/B0BX6G65HZ
"helett® H30C USB Direct Thermal 4×6 Shipping Label Printer(Barcode) Adjustable Label Size|203DPI Resolution|152mm/s Printing Speed Compatible with Windows,Mac,Linux Chrome OS|White(1Year Warranty)",,"₹14,999","6,889",In stock,4.3  4.3 out of 5 stars  (284),,https://www.amazon.in/Helett-H30C-Resolution-Shipping-Compatible/dp/B0CJVGCB4K
"Print Star Scanner Top Cover For Use In Hp M1005 Laserjet Printer With Accurate Fitting (1), Abs - Grey","Visit the store, Print Star    Print Star   Visit the store","₹1,999",575,In stock,Rating not found,,https://www.amazon.in/Print-Scanner-Laserjet-Printer-Accurate/dp/B0BR5WR45X
Canon PIXMA MegaTank G1010 Single Function Ink Tank Colour Printer,"Visit the store, Canon    Canon   Visit the store","₹8,195","7,580",In stock,Rating not found,,https://www.amazon.in/Canon-Single-Function-Colour-Printer/dp/B079W847RX
CPS CCD Scanner Cable used for HP M1005 or hp 1536 MFP 425 original,,₹100,94,In stock,3.8  3.8 out of 5 stars  (100),,https://www.amazon.in/CPS-Scanner-Cable-M1005-1536/dp/B081K6X4ZC
