Product Name,rating,Number of Reviews,Price,Discount
"Acer Aspire 5 15.6"" Laptop - Iron (Intel Core i5-12450H/1TB SSD/16GB RAM/Windows 11)",3.5,(2 Reviews),$649.99,SAVE $250
"Open Box - Lenovo Pro 5i 16"" Gaming Laptop - Onyx Grey (Intel i7-13700HX/1TB SSD/16GB RAM/GeForce RTX 4070)",0,(0 Reviews),$1499.97,SAVE $300
"HP Pavilion Plus 14"" Laptop (Intel Core Ultra 5 with Intel Evo/16GB RAM/1TB SSD)",4,(13 Reviews),$1099.99,SAVE $200
"HP 14"" Laptop - Natural Silver (AMD Ryzen 3 7320U/512GB SSD/8GB RAM/Windows 11)",4.38,(50 Reviews),$579.99,SAVE $120
"Open Box - Dell XPS 13 13.4"" Laptop - Sky (Intel Core i7-1250U/1TB SSD/32GB RAM/Windows 11 Home)",3,(1 Review),$1199.97,SAVE $100
"Dell Inspiron 14"" Touchscreen 2-in-1 Laptop - Midnight Blue (AMD Ryzen 7 8840HS/16GB RAM/1TB SSD)",3.33,(3 Reviews),$999.99,SAVE $200
"Open Box - Apple MacBook Air 13.6"" w/ Touch ID (2022) -Midnight (Apple M2 Chip/512GB SSD/8GB RAM) -Eng",3,(1 Review),$1049.95,SAVE $500
"Open Box - Apple MacBook Pro 16.2"" (Fall 2023) - Space Black (Apple M3 Pro / 512GB SSD / 18GB RAM) - En",0,(0 Reviews),$2199.99,SAVE $999
"ASUS Vivobook S 16 OLED 16"" Laptop - Neutral Black (Intel EVO Ultra 9 - 185H/16GB RAM/1TB SSD)",5,(7 Reviews),$1499.99,SAVE $100
"Dell Insprion 16"" Touchscreen Laptop - Platinum (Intel Core Ultra 7 155H/16GB RAM/1TB SSD/Windows 11 Home)",5,(1 Review),$1399.99,SAVE $300
"Apple MacBook Air 15"" w/ Touch ID (2024) - Starlight (Apple M3 Chip / 512GB SSD / 8GB RAM) - English",4.89,(81 Reviews),$1599.95,SAVE $300
"ASUS Vivobook Pro 15 15.6"" OLED Laptop (Intel Core Ultra 9 185H/1TB SSD/24GB RAM/GeForce RTX 4060)",4,(3 Reviews),$1999.99,SAVE $499
"Open Box - HP 14"" Laptop - Natural Silver (AMD 3020e/64 GB SSD/4 GB RAM/Windows 11)",2.8,(5 Reviews),$229.97,SAVE $70
"Open Box - Apple MacBook Air 13.6"" w/ Touch ID (2022) -Starlight (Apple M2 Chip/512GB SSD/8GB RAM) -Eng",0,(0 Reviews),$1049.95,SAVE $500
"Open Box - ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (Intel Core i3-N305 /256GB SSD/8GB RAM/Windows 11 Home)",0,(0 Reviews),$299.95,SAVE $200
"Open Box - ASUS Zenbook OLED 14.5"" Touchscreen Laptop (Intel Evo i9-13900H/1TB SSD/32GB RAM/GeForce RTX 3050)",2.29,(7 Reviews),$1499.97,SAVE $300
"ASUS Zenbook S 14"" Touchscreen Laptop (Intel Core Ultra 5 - Series 2/16GB RAM/1TB SSD)",0,(0 Reviews),$1699.99,SAVE $100
"Open Box - ASUS TUF Gaming A15 15.6"" Gaming Laptop (AMD Ryzen 5 7535HS/512GB SSD/16GB RAM/GeForce RTX 4050)",0,(0 Reviews),$1049.97,SAVE $50
"Lenovo Yoga Book 9i 13"" Touchscreen Laptop - Tidal Teal (Intel Evo i7-1355U/1TB SSD/16GB RAM/Win11)",0,(0 Reviews),$1799.97,"SAVE $1,100"
"LG Gram 17"" Laptop (Intel Core Ultra 7-155H EVO/1TB SSD/16GB RAM/Windows 11 Home)",4.67,(3 Reviews),$1549.97,SAVE $350
"Open Box - ASUS Vivobook Go 15 L51 15.6"" Laptop - Star Black (Intel Celeron/128GB SSD/4GB RAM)",2.6,(5 Reviews),$199.97,SAVE $100
"Open Box - Apple MacBook Air 15"" w/ Touch ID (2024) - Starlight (Apple M3 Chip / 256GB SSD / 8GB RAM) - English",0,(0 Reviews),$1199.95,SAVE $450
"Lenovo IdeaPad 5 14"" 2-in-1 Touchscreen Laptop - Luna Grey (AMD Ryzen 5 8645HS/512GB SSD/16GB RAM)",0,(0 Reviews),$799.99,SAVE $200
"LG Gram 14"" Laptop - Obsidian Black (Intel Core Ultra5 125H/512GB SSD/8GB RAM)",0,(0 Reviews),$899.97,SAVE $600
